,N02_untrained_vit,N03_pixel,P02_clip_b32,P03_clip_l14,P04_clip_h14,P05_clip_g14,P06_clip_bigG14,P07_dinov2_base,P08_dinov2_large,P09_dinov2_giant,P10_mae_huge,P11_sdxl_vae,P17_facenet_vggface2,P18_facenet_casiawebface,P19_siglip_base_384,P20_siglip_so400m,P21_metaclip_h14,P22_cornet_s,P23_arcface_auraface,P23rgb_arcface_auraface_rgb,P24_adaface_ir101_ms1mv2,P25_arcface_ir101_webface4m,P26_adaface_ir50_casia,P28_adaface_ir50_webface4m,P29_adaface_ir50_ms1mv2
P10_mae_huge,0.779578105464733,0.05186272665894311,0.08178951018336966,0.10105131380841043,0.12373367303998375,0.126168602024098,0.12669288675462914,0.1375764063261987,0.15650083920765723,0.1436879423858449,1.0,0.5853132112406993,0.02431004905171095,0.03287658569888525,0.17800308838086604,0.15363222674083155,0.1648026432543316,0.20646102803730845,0.001761927331796354,0.004972097162556656,0.005892667002913143,0.029267064075796788,0.008661517101013767,0.009556104217535664,0.010419773110374338
P11_sdxl_vae,0.4798610077345142,0.15161364045360426,0.07410492481226144,0.09977720693390528,0.12920112033773606,0.12087471895770144,0.12556890277425414,0.16756054854028993,0.20079175468554047,0.2034426322227142,0.5853132112406993,1.0,0.0354923160094638,0.05552221694517029,0.23586245721003676,0.2055815040174805,0.1973003731138257,0.23818460948560485,0.021627603206123915,0.02429861621811293,0.05232853735080595,0.07616829581787772,0.02688590496278552,0.04778147292744145,0.05705938235620627
P17_facenet_vggface2,0.021983955431977755,0.023622027054017506,0.2914737720413378,0.22948015703220692,0.3211273906585224,0.32459038162475945,0.3072707233613069,0.14560615560013157,0.12830375857283222,0.14039728132142884,0.02431004905171095,0.0354923160094638,1.0,0.609703083522389,0.1943317091186827,0.17888236916696662,0.2134744223790062,0.14540336728530423,0.33998648691789274,0.3516880834001904,0.21229350528134913,0.17620828162525204,0.3662265467956077,0.2613916716746701,0.2300271317468129
P18_facenet_casiawebface,0.03658230388149488,0.015887548818544473,0.28019787396117907,0.22513963573960197,0.3290327992307277,0.34678609496360724,0.3215932277332154,0.18461697614191847,0.15016223958221203,0.16182375559756346,0.03287658569888525,0.05552221694517029,0.609703083522389,1.0,0.241869039888914,0.2289153713698781,0.24060440939767255,0.20685769272845284,0.3313584039682925,0.33582001065218886,0.22518529859520953,0.20013534757238838,0.40900294746960464,0.2816783073582056,0.25096763372778746
P19_siglip_base_384,0.17080322560305833,0.07005129990018391,0.5864118794678208,0.5732461652992198,0.690871965289831,0.685110286929305,0.71150219832189,0.6712777289025275,0.6819687044123748,0.660663576471811,0.17800308838086604,0.23586245721003676,0.1943317091186827,0.241869039888914,1.0,0.8383474333967708,0.6653744442700241,0.5606990668047919,0.15856279443427485,0.17750355026530745,0.10867385823656323,0.11997306378619729,0.18561672265092205,0.12747416888901222,0.13111439929028837
P20_siglip_so400m,0.1422070885596951,0.06247520036465605,0.5763151669417126,0.6246663777622498,0.7055444521909499,0.6791610691476422,0.7425983302677728,0.6853840665354759,0.7239875192730191,0.7058406830784122,0.15363222674083155,0.2055815040174805,0.17888236916696662,0.2289153713698781,0.8383474333967708,1.0,0.7299315684155233,0.5133996451847699,0.14930428774314086,0.15632137769850354,0.10349991040352388,0.10953383673130289,0.17446349700303632,0.11764072196556723,0.12294943505490065
P21_metaclip_h14,0.16812536827174104,-0.010015425523539062,0.6616662743034515,0.7854800839835008,0.7518168476398466,0.7129910176346181,0.7674081287933561,0.5917735000172689,0.6249911234955874,0.6345799961540074,0.1648026432543316,0.1973003731138257,0.2134744223790062,0.24060440939767255,0.6653744442700241,0.7299315684155233,1.0,0.3692261026453945,0.16259987397969194,0.18111952284576946,0.10321279289918704,0.11381873006410571,0.19616400038822845,0.1359480083044179,0.12950847973447174
P22_cornet_s,0.1806102322477349,0.06418107095363874,0.3161177983631224,0.29637621646005696,0.40601838085570513,0.3977394443149908,0.42608317522966904,0.5626553148381218,0.5361766341142956,0.5053717822896823,0.20646102803730845,0.23818460948560485,0.14540336728530423,0.20685769272845284,0.5606990668047919,0.5133996451847699,0.3692261026453945,1.0,0.1471340192118093,0.12867152823339337,0.07640038016010363,0.07862743301256497,0.14133580233688323,0.09828105352682896,0.10420673200219288
P23_arcface_auraface,-0.00432331145100276,0.04194348290520911,0.1864891862017707,0.1916975141158101,0.2243398757909118,0.22022776177822576,0.22591677753370998,0.17770309532871992,0.16593768444906448,0.17681717951822276,0.001761927331796354,0.021627603206123915,0.33998648691789274,0.3313584039682925,0.15856279443427485,0.14930428774314086,0.16259987397969194,0.1471340192118093,1.0,0.7639001953679102,0.273178112853757,0.260939916906864,0.3251475861529054,0.3378076698253072,0.2893470324480846
P23rgb_arcface_auraface_rgb,-0.0021361318981212543,0.03700867688638342,0.2180411698744377,0.2203862441685783,0.24898187579239642,0.2409558094793997,0.2493430728975644,0.16255178485945224,0.15582572108230142,0.16759960693968176,0.004972097162556656,0.02429861621811293,0.3516880834001904,0.33582001065218886,0.17750355026530745,0.15632137769850354,0.18111952284576946,0.12867152823339337,0.7639001953679102,1.0,0.29880019232905275,0.2885794643000375,0.33723387768310875,0.3716492581359052,0.3168679951619342
P24_adaface_ir101_ms1mv2,-0.004745496970646545,0.060273959602608146,0.13477025815769528,0.125938073375618,0.15568007673531806,0.15909077477688874,0.15544046660904526,0.08998818057383697,0.08028697867416455,0.09206028179915654,0.005892667002913143,0.05232853735080595,0.21229350528134913,0.22518529859520953,0.10867385823656323,0.10349991040352388,0.10321279289918704,0.07640038016010363,0.273178112853757,0.29880019232905275,1.0,0.5037417048463746,0.33315715919170924,0.5437734792056057,0.623755152434929
P25_arcface_ir101_webface4m,0.028838069846015654,0.03398195424219669,0.12113699478418759,0.13325252087343617,0.1401798336563797,0.14013288292076045,0.1447841048511336,0.1051533510224973,0.10328594312582602,0.10896828402031514,0.029267064075796788,0.07616829581787772,0.17620828162525204,0.20013534757238838,0.11997306378619729,0.10953383673130289,0.11381873006410571,0.07862743301256497,0.260939916906864,0.2885794643000375,0.5037417048463746,1.0,0.29896191647911347,0.5441554519482378,0.4741510501043937
P26_adaface_ir50_casia,-0.000983895577519158,0.06403037880929645,0.24586454210684058,0.2295771434116433,0.26113621227368256,0.263841113911197,0.25950400458014894,0.14835614596383567,0.14390758044698557,0.14990243588716384,0.008661517101013767,0.02688590496278552,0.3662265467956077,0.40900294746960464,0.18561672265092205,0.17446349700303632,0.19616400038822845,0.14133580233688323,0.3251475861529054,0.33723387768310875,0.33315715919170924,0.29896191647911347,1.0,0.41323397057644506,0.3699390883550646
P28_adaface_ir50_webface4m,0.005275295769812548,0.049368895841449004,0.1713282607055717,0.17723266006850558,0.19240027541164947,0.18941245880900154,0.19537902050184705,0.13168436908916112,0.12203624964448972,0.12841409844659782,0.009556104217535664,0.04778147292744145,0.2613916716746701,0.2816783073582056,0.12747416888901222,0.11764072196556723,0.1359480083044179,0.09828105352682896,0.3378076698253072,0.3716492581359052,0.5437734792056057,0.5441554519482378,0.41323397057644506,1.0,0.5743293653444174
P29_adaface_ir50_ms1mv2,-0.0007606883092617295,0.054703419939312964,0.150113238578933,0.14466801731130835,0.17296821839666246,0.17164932685623902,0.17575816745494977,0.11681999563487112,0.1160946677129165,0.12660657369498646,0.010419773110374338,0.05705938235620627,0.2300271317468129,0.25096763372778746,0.13111439929028837,0.12294943505490065,0.12950847973447174,0.10420673200219288,0.2893470324480846,0.3168679951619342,0.623755152434929,0.4741510501043937,0.3699390883550646,0.5743293653444174,1.0
